Secuencia	Es_conotoxina	Score
FASTA_1	False	0.009099
FASTA_2	False	0.054861
FASTA_3	False	0.019864
FASTA_4	False	0.087071
FASTA_5	False	0.118698
FASTA_6	False	0.041291
FASTA_7	False	0.029284
FASTA_8	False	0.041291
FASTA_9	False	0.029284
FASTA_10	False	0.029284
FASTA_11	False	0.041291
FASTA_12	False	0.029284
FASTA_13	False	0.029284
FASTA_14	False	0.029284
FASTA_15	False	0.041291
FASTA_16	False	0.041291
FASTA_17	False	0.041291
FASTA_18	False	0.029284
FASTA_19	False	0.029284
FASTA_20	False	0.029284
FASTA_21	False	0.061961
FASTA_22	False	0.108696
FASTA_23	False	0.115814
FASTA_24	False	0.018149
FASTA_25	False	0.015007
FASTA_26	False	0.024031
FASTA_27	False	0.024031
FASTA_28	False	0.040275
FASTA_29	False	0.158006
FASTA_30	False	0.158006
FASTA_31	False	0.146996
FASTA_32	False	0.133618
FASTA_33	False	0.022114
FASTA_34	False	0.168473
FASTA_35	False	0.050189
FASTA_36	False	0.054859
FASTA_37	False	0.054859
FASTA_38	False	0.044152
FASTA_39	False	0.028621
FASTA_40	False	0.095126
FASTA_41	False	0.066686
FASTA_42	False	0.019667
FASTA_43	False	0.038923
FASTA_44	False	0.035174
FASTA_45	False	0.038923
FASTA_46	False	0.136151
FASTA_47	False	0.040168
FASTA_48	False	0.147029
FASTA_49	False	0.114515
FASTA_50	False	0.114515
FASTA_51	False	0.040168
FASTA_52	False	0.040168
FASTA_53	False	0.101107
FASTA_54	False	0.133880
FASTA_55	False	0.161913
FASTA_56	False	0.091043
FASTA_57	False	0.033782
FASTA_58	False	0.162013
FASTA_59	False	0.109851
FASTA_60	False	0.035116
FASTA_61	False	0.024886
FASTA_62	False	0.134787
FASTA_63	False	0.034999
FASTA_64	False	0.122037
FASTA_65	False	0.078038
FASTA_66	False	0.155252
FASTA_67	False	0.032706
FASTA_68	False	0.082466
FASTA_69	False	0.083634
FASTA_70	False	0.157975
FASTA_71	False	0.165884
FASTA_72	False	0.091043
FASTA_73	False	0.082466
FASTA_74	False	0.136323
FASTA_75	False	0.095112
FASTA_76	False	0.038868
FASTA_77	False	0.142576
FASTA_78	False	0.041093
FASTA_79	False	0.041093
FASTA_80	False	0.022598
FASTA_81	False	0.102949
FASTA_82	False	0.067394
FASTA_83	False	0.095137
FASTA_84	False	0.097258
FASTA_85	False	0.021048
FASTA_86	False	0.095137
FASTA_87	False	0.127530
FASTA_88	False	0.091396
FASTA_89	False	0.132740
FASTA_90	False	0.098115
FASTA_91	False	0.044894
FASTA_92	False	0.020137
FASTA_93	False	0.022153
FASTA_94	False	0.020139
FASTA_95	False	0.022143
FASTA_96	False	0.022853
FASTA_97	False	0.026191
FASTA_98	False	0.066940
FASTA_99	False	0.039683
FASTA_100	False	0.131119
FASTA_101	False	0.078320
FASTA_102	False	0.041414
FASTA_103	False	0.097871
FASTA_104	False	0.094952
FASTA_105	False	0.020611
FASTA_106	False	0.034972
FASTA_107	False	0.034425
FASTA_108	False	0.095766
FASTA_109	False	0.088560
FASTA_110	False	0.020157
FASTA_111	False	0.020305
FASTA_112	False	0.062378
FASTA_113	False	0.090471
FASTA_114	False	0.083673
FASTA_115	False	0.023349
FASTA_116	False	0.046861
FASTA_117	False	0.039264
FASTA_118	False	0.095766
FASTA_119	False	0.095766
FASTA_120	False	0.078137
FASTA_121	False	0.037284
FASTA_122	False	0.095766
FASTA_123	False	0.158909
FASTA_124	False	0.046363
FASTA_125	False	0.100409
FASTA_126	False	0.159890
FASTA_127	False	0.088181
FASTA_128	False	0.154573
FASTA_129	False	0.108863
FASTA_130	False	0.145755
FASTA_131	False	0.063044
FASTA_132	False	0.102617
FASTA_133	False	0.089914
FASTA_134	True	0.312467
FASTA_135	False	0.151235
FASTA_136	False	0.092419
FASTA_137	True	0.315576
FASTA_138	True	0.174698
FASTA_139	True	0.217644
FASTA_140	False	0.067401
FASTA_141	False	0.129905
FASTA_142	False	0.036941
FASTA_143	False	0.024833
FASTA_144	False	0.031705
FASTA_145	False	0.067768
FASTA_146	False	0.031271
FASTA_147	False	0.032706
FASTA_148	False	0.066952
FASTA_149	False	0.068341
FASTA_150	False	0.058516
FASTA_151	False	0.048892
FASTA_152	False	0.132025
FASTA_153	False	0.060338
FASTA_154	False	0.132025
FASTA_155	True	0.262457
FASTA_156	False	0.123228
FASTA_157	False	0.088633
FASTA_158	False	0.079762
FASTA_159	False	0.080016
FASTA_160	True	0.262457
FASTA_161	False	0.101071
FASTA_162	False	0.110989
FASTA_163	False	0.030806
FASTA_164	False	0.106117
FASTA_165	False	0.079762
FASTA_166	False	0.118634
FASTA_167	False	0.064625
FASTA_168	False	0.059933
FASTA_169	False	0.058058
FASTA_170	False	0.120922
FASTA_171	False	0.163097
FASTA_172	False	0.154573
FASTA_173	False	0.031718
FASTA_174	False	0.039061
FASTA_175	False	0.154769
FASTA_176	False	0.057513
FASTA_177	False	0.067401
FASTA_178	False	0.088614
FASTA_179	False	0.132360
FASTA_180	False	0.114588
FASTA_181	False	0.061895
FASTA_182	False	0.055292
FASTA_183	False	0.145608
FASTA_184	False	0.023280
FASTA_185	False	0.035730
FASTA_186	False	0.131074
FASTA_187	False	0.123204
FASTA_188	False	0.123204
FASTA_189	False	0.123204
FASTA_190	False	0.027291
FASTA_191	False	0.120887
FASTA_192	False	0.038502
FASTA_193	False	0.062820
FASTA_194	False	0.134860
FASTA_195	False	0.130826
FASTA_196	False	0.100409
FASTA_197	False	0.127218
FASTA_198	False	0.154621
FASTA_199	False	0.051444
FASTA_200	False	0.040552
FASTA_201	False	0.113413
FASTA_202	False	0.172866
FASTA_203	False	0.027291
FASTA_204	True	0.197286
FASTA_205	False	0.172866
FASTA_206	True	0.196401
FASTA_207	False	0.133601
FASTA_208	False	0.037559
FASTA_209	True	0.203082
FASTA_210	False	0.120782
FASTA_211	False	0.043355
FASTA_212	False	0.053152
FASTA_213	False	0.053597
FASTA_214	False	0.056526
FASTA_215	False	0.087342
FASTA_216	False	0.125879
FASTA_217	False	0.088181
FASTA_218	False	0.101795
FASTA_219	False	0.085062
FASTA_220	False	0.172866
FASTA_221	False	0.056298
FASTA_222	False	0.123351
FASTA_223	False	0.037163
FASTA_224	True	0.315576
FASTA_225	False	0.055292
FASTA_226	False	0.139274
FASTA_227	False	0.130745
FASTA_228	False	0.170842
FASTA_229	False	0.130761
FASTA_230	False	0.091196
FASTA_231	False	0.073510
FASTA_232	False	0.114491
FASTA_233	False	0.081034
FASTA_234	False	0.057066
FASTA_235	False	0.079994
FASTA_236	False	0.170279
FASTA_237	True	0.182998
FASTA_238	False	0.105862
FASTA_239	False	0.143973
FASTA_240	False	0.121291
FASTA_241	False	0.081034
FASTA_242	False	0.055819
FASTA_243	False	0.027331
FASTA_244	False	0.050766
FASTA_245	False	0.051962
FASTA_246	False	0.029485
FASTA_247	False	0.160526
FASTA_248	True	0.178563
FASTA_249	True	0.177642
FASTA_250	False	0.136666
FASTA_251	False	0.056526
FASTA_252	False	0.120782
FASTA_253	False	0.040083
FASTA_254	True	0.178010
FASTA_255	False	0.043349
FASTA_256	False	0.132363
FASTA_257	False	0.104360
FASTA_258	False	0.041093
FASTA_259	False	0.077515
FASTA_260	False	0.040332
FASTA_261	False	0.109697
FASTA_262	False	0.038986
FASTA_263	False	0.138081
FASTA_264	False	0.122037
FASTA_265	False	0.041093
FASTA_266	False	0.137869
FASTA_267	False	0.080310
FASTA_268	False	0.050741
FASTA_269	False	0.041093
FASTA_270	True	0.246458
FASTA_271	False	0.037695
FASTA_272	False	0.114638
FASTA_273	False	0.116738
FASTA_274	False	0.109180
FASTA_275	False	0.161784
FASTA_276	False	0.101405
FASTA_277	False	0.045080
FASTA_278	False	0.069934
FASTA_279	True	0.177915
FASTA_280	False	0.145911
FASTA_281	False	0.165845
FASTA_282	False	0.145911
FASTA_283	False	0.158651
FASTA_284	False	0.056040
FASTA_285	False	0.088546
FASTA_286	False	0.065941
FASTA_287	False	0.163097
FASTA_288	True	0.177700
FASTA_289	False	0.102643
FASTA_290	False	0.073000
FASTA_291	False	0.030837
FASTA_292	False	0.118774
FASTA_293	False	0.088271
FASTA_294	False	0.157905
FASTA_295	False	0.092853
FASTA_296	False	0.041821
FASTA_297	False	0.131074
FASTA_298	True	0.195102
FASTA_299	False	0.033757
FASTA_300	False	0.137604
FASTA_301	False	0.037863
FASTA_302	True	0.227630
FASTA_303	False	0.110528
FASTA_304	False	0.123639
FASTA_305	False	0.044222
FASTA_306	False	0.088598
FASTA_307	False	0.042521
FASTA_308	False	0.136193
FASTA_309	False	0.041093
FASTA_310	False	0.048088
FASTA_311	False	0.170537
FASTA_312	False	0.074719
FASTA_313	False	0.078370
FASTA_314	False	0.149018
FASTA_315	False	0.124806
FASTA_316	True	0.181038
FASTA_317	False	0.130745
FASTA_318	False	0.138024
FASTA_319	False	0.033410
FASTA_320	False	0.092751
FASTA_321	False	0.125582
FASTA_322	False	0.040522
FASTA_323	False	0.045585
FASTA_324	False	0.160729
FASTA_325	False	0.071806
FASTA_326	False	0.154621
FASTA_327	False	0.092041
FASTA_328	False	0.065667
FASTA_329	False	0.133646
FASTA_330	False	0.059054
FASTA_331	False	0.062440
FASTA_332	False	0.142128
FASTA_333	False	0.036162
FASTA_334	False	0.149460
FASTA_335	False	0.028243
FASTA_336	False	0.050280
FASTA_337	False	0.101794
FASTA_338	False	0.062440
FASTA_339	False	0.062440
FASTA_340	False	0.090904
FASTA_341	False	0.107005
FASTA_342	True	0.180681
FASTA_343	False	0.036162
FASTA_344	False	0.125334
FASTA_345	False	0.111513
FASTA_346	False	0.166904
FASTA_347	False	0.166540
FASTA_348	True	0.207000
FASTA_349	False	0.133726
FASTA_350	False	0.072249
FASTA_351	False	0.032026
FASTA_352	False	0.069664
FASTA_353	False	0.074719
FASTA_354	False	0.036024
FASTA_355	True	0.175330
FASTA_356	False	0.085894
FASTA_357	False	0.149448
FASTA_358	False	0.034133
FASTA_359	False	0.126809
FASTA_360	False	0.043024
FASTA_361	False	0.065292
FASTA_362	True	0.194067
FASTA_363	True	0.191257
FASTA_364	True	0.214000
FASTA_365	False	0.116822
FASTA_366	False	0.034928
FASTA_367	False	0.068411
FASTA_368	False	0.140841
FASTA_369	False	0.151218
FASTA_370	False	0.129660
FASTA_371	False	0.092468
FASTA_372	False	0.065219
FASTA_373	False	0.122195
FASTA_374	True	0.186380
FASTA_375	False	0.089674
FASTA_376	True	0.194465
FASTA_377	False	0.142595
FASTA_378	True	0.235180
FASTA_379	False	0.101557
FASTA_380	False	0.158116
FASTA_381	False	0.083929
FASTA_382	False	0.100962
FASTA_383	False	0.126995
FASTA_384	False	0.031185
FASTA_385	True	0.224722
FASTA_386	False	0.093550
FASTA_387	False	0.129249
FASTA_388	False	0.029372
FASTA_389	False	0.053773
FASTA_390	False	0.058021
FASTA_391	False	0.067356
FASTA_392	False	0.103971
FASTA_393	False	0.104997
FASTA_394	True	0.230946
FASTA_395	False	0.073905
FASTA_396	False	0.035924
FASTA_397	True	0.262087
FASTA_398	True	0.192183
FASTA_399	False	0.162363
FASTA_400	False	0.033703
FASTA_401	False	0.034444
FASTA_402	False	0.133351
FASTA_403	True	0.193578
FASTA_404	True	0.235172
FASTA_405	False	0.094264
FASTA_406	False	0.089721
FASTA_407	False	0.166218
FASTA_408	False	0.139064
FASTA_409	False	0.093106
FASTA_410	False	0.032939
FASTA_411	False	0.066164
FASTA_412	True	0.219265
FASTA_413	False	0.158293
FASTA_414	False	0.127885
FASTA_415	True	0.180271
